Timestamp,Average
2025-06-01 00:00:00,46.5
2025-06-01 01:00:00,56.88
2025-06-01 02:00:00,49.59
2025-06-01 03:00:00,52.88
2025-06-01 04:00:00,55.92
2025-06-01 05:00:00,48.99
2025-06-01 06:00:00,48.76
2025-06-01 07:00:00,44.9
2025-06-01 08:00:00,50.64
2025-06-01 09:00:00,52.98
2025-06-01 10:00:00,51.03
2025-06-01 11:00:00,41.05
2025-06-01 12:00:00,49.99
2025-06-01 13:00:00,53.22
2025-06-01 14:00:00,57.15
2025-06-01 15:00:00,45.76
2025-06-01 16:00:00,49.6
2025-06-01 17:00:00,57.05
2025-06-01 18:00:00,46.44
2025-06-01 19:00:00,47.43
2025-06-01 20:00:00,47.25
2025-06-01 21:00:00,50.27
2025-06-01 22:00:00,50.16
2025-06-01 23:00:00,46.89
2025-06-02 00:00:00,50.4
2025-06-02 01:00:00,42.2
2025-06-02 02:00:00,46.66
2025-06-02 03:00:00,51.68
2025-06-02 04:00:00,48.18
2025-06-02 05:00:00,57.98
2025-06-02 06:00:00,46.93
2025-06-02 07:00:00,46.45
2025-06-02 08:00:00,48.35
2025-06-02 09:00:00,44.29
2025-06-02 10:00:00,54.52
2025-06-02 11:00:00,50.29
2025-06-02 12:00:00,46.18
2025-06-02 13:00:00,51.94
2025-06-02 14:00:00,54.29
2025-06-02 15:00:00,47.13
2025-06-02 16:00:00,50.77
2025-06-02 17:00:00,51.61
2025-06-02 18:00:00,46.98
2025-06-02 19:00:00,46.14
2025-06-02 20:00:00,49.87
2025-06-02 21:00:00,49.21
2025-06-02 22:00:00,43.9
2025-06-02 23:00:00,46.45
2025-06-03 00:00:00,52.04
2025-06-03 01:00:00,54.34
2025-06-03 02:00:00,49.23
2025-06-03 03:00:00,55.77
2025-06-03 04:00:00,46.62
2025-06-03 05:00:00,43.96
2025-06-03 06:00:00,50.26
2025-06-03 07:00:00,54.74
2025-06-03 08:00:00,47.37
2025-06-03 09:00:00,48.38
2025-06-03 10:00:00,48.21
2025-06-03 11:00:00,50.04
2025-06-03 12:00:00,51.24
2025-06-03 13:00:00,48.36
2025-06-03 14:00:00,45.96
2025-06-03 15:00:00,52.92
2025-06-03 16:00:00,50.74
2025-06-03 17:00:00,45.02
2025-06-03 18:00:00,49.58
2025-06-03 19:00:00,51.45
2025-06-03 20:00:00,52.72
2025-06-03 21:00:00,47.32
2025-06-03 22:00:00,51.95
2025-06-03 23:00:00,49.94
2025-06-04 00:00:00,47.82
